,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
4641,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,1,random,92.963655131,92.970931567,Success,1.946
4642,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,2,random,92.971210942,92.980024126,Success,4.5
4643,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,3,random,92.980317484,92.990658515,Success,6.824
4645,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,5,random,93.017669105,93.030965242,Success,10.404
4646,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,6,random,93.031339497,93.03972566,Success,3.544
4647,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,7,random,93.04001134,93.049281993,Success,4.904
4648,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,8,random,93.049578062,93.057744815,Success,3.579
4649,60de489c-3100-11ec-8e31-1458d0584f82,hp065.utah.cloudlab.us,224,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,9,random,93.058029337,93.071199097,Success,10.923
4651,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,1,random,93.141317889,93.154712291,Success,10.953
4652,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,2,random,93.155016018,93.164644441,Success,4.921
4653,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,3,random,93.16494036,93.205815132,Success,27.958
4654,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,4,random,93.206118263,93.217222219,Success,6.848
4655,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,5,random,93.217520528,93.226016625,Success,3.54
4656,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,6,random,93.226317165,93.234860271,Success,3.612
4657,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,7,random,93.235180486,93.248606883,Success,10.439
4658,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,8,random,93.248904014,93.25839579,Success,4.478
4659,41bcca63-3101-11ec-87a4-1458d0584f82,hp065.utah.cloudlab.us,225,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,9,random,93.258681249,93.266053449,Success,1.972
4660,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,0,random,93.307544694,93.318744082,Success,4.919
4661,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,1,random,93.319051988,93.327522918,Success,3.525
4663,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,3,random,93.354863732,93.368178792,Success,10.87
4664,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,4,random,93.368474816,93.375898228,Success,1.943
4665,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,5,random,93.376181663,93.386904843,Success,6.845
4666,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,6,random,93.387209998,93.401652678,Success,10.444
4667,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,7,random,93.401978115,93.410492842,Success,3.572
4668,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,8,random,93.410789969,93.452098506,Success,27.943
4669,22747f73-3102-11ec-8695-1458d0584f82,hp065.utah.cloudlab.us,226,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,9,random,93.452400654,93.461571988,Success,4.5
4670,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,0,random,93.496735646,93.540797664,Success,28.051
4671,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,1,random,93.541115849,93.551750352,Success,6.883
4672,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,2,random,93.552049227,93.560552725,Success,3.555
4673,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,3,random,93.56087309,93.574342257,Success,10.98
4675,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,5,random,93.601902902,93.610778698,Success,4.511
4676,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,6,random,93.611066182,93.620596493,Success,4.929
4677,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,7,random,93.620920341,93.629399902,Success,3.58
4678,dc5a87d7-3102-11ec-9b52-1458d0584f82,hp065.utah.cloudlab.us,227,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,8,random,93.629691856,93.643280499,Success,10.411
